LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C17936,Resistors,Chip Resistor - Surface Mount,1206W4F4701T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,250mW Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷4.7k兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F4701T5E_C17936.pdf,"15-135:0.003123077,150-435:0.002415385,450-1485:0.002046154,1500-7485:0.001876923,7500-14985:0.001646154,15000-:0.001569231",227205
C17944,Resistors,Chip Resistor - Surface Mount,1206W4F2001T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷2k兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F2001T5E_C17944.pdf,"15-135:0.003907692,150-435:0.003092308,450-1485:0.002646154,1500-7485:0.002446154,7500-14985:0.002184615,15000-:0.002092308",266777
C17955,Resistors,Chip Resistor - Surface Mount,1206W4F200JT5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷20兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F200JT5E_C17955.pdf,"15-135:0.003215385,150-435:0.002507692,450-1485:0.002138462,1500-7485:0.001969231,7500-14985:0.001738462,15000-:0.001661538",318768
C17958,Resistors,Chip Resistor - Surface Mount,1206W4F220JT5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷22兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F220JT5E_C17958.pdf,"15-135:0.003030769,150-435:0.002292308,450-1485:0.001907692,1500-7485:0.001723077,7500-14985:0.001496923,15000-:0.001416923",56088
C17985,Resistors,Chip Resistor - Surface Mount,1206W4F7500T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷750兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F7500T5E_C17985.pdf,"15-135:0.003384615,150-435:0.002569231,450-1485:0.002138462,1500-7485:0.001938462,7500-14985:0.001676923,15000-:0.001584615",17816
C18359,Resistors,Chip Resistor - Surface Mount,0805W8F3601T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷3.6k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-0805W8F3601T5E_C18359.pdf,"20-180:0.002569231,200-580:0.002092308,600-1980:0.001846154,2000-9980:0.001723077,10000-19980:0.001569231,20000-:0.001521538",119880
C20197,Resistors,Resistor Networks & Arrays,4D03WGJ0102T5E,0603_x4,8,UNI-ROYAL(Uniroyal Elec),Basic,4 8 亇5% 1k兌 1/16W 亇200ppm/亷1206  Resistor Networks & Arrays ROHS,https://datasheet.lcsc.com/lcsc/1810311812_UNI-ROYAL-Uniroyal-Elec-4D03WGJ0102T5E_C20197.pdf,"1-9:0.006400000,10-29:0.005138462,30-99:0.004446154,100-499:0.004015385,500-999:0.003646154,1000-:0.003461538",201828
C20638,Resistors,Chip Resistor - Surface Mount,0805W8F750JT5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,0805 Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/1810301611_UNI-ROYAL-Uniroyal-Elec-0805W8F750JT5E_C20638.pdf,"20-180:0.002492308,200-580:0.001969231,600-1980:0.001707692,2000-9980:0.001569231,40000-79980:0.001338462,10000-19980:0.001407692,80000-:0.001327692,20000-39980:0.001352308",36890
C21189,Resistors,Chip Resistor - Surface Mount,0603WAF0000T5E,603,2,UNI-ROYAL(Uniroyal Elec),Basic,1/10W Thick Film Resistors 75V 亇1% -55乣+155亷0m兌 0603  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf,"20-180:0.001112308,200-580:0.000904615,600-1980:0.000753846,2000-9980:0.000630769,10000-19980:0.000609231,20000-:0.000598462",1613453
C21190,Resistors,Chip Resistor - Surface Mount,0603WAF1001T5E,603,2,UNI-ROYAL(Uniroyal Elec),Basic,1/10W Thick Film Resistors 75V 亇1% 亇100ppm/亷-55乣+155亷1k兌 0603  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf,"20-180:0.000869231,200-580:0.000661538,600-1980:0.000558462,2000-9980:0.000501538,10000-19980:0.000455385,20000-:0.000438462",6637204
